Comissão,Data,Hora,Reunião,Texto,Tipo
Comissão de Relações Exteriores e de Defesa Nacional,20/05/2015,10h13,0626/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=20/05/2015&hrInicio=10:13:00&hrFim=13:59:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0626/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:13&sgFaseSessao=&Data=20/05/2015&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:13&txEtapa=,AP c/ Ministro
Comissão Especial - PEC 182/07 - Reforma Política,05/05/2015,14h55,0462/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PEC 182/07 - Reforma Política&tpReuniaoEvento=AP c/ Convidado&dtReuniao=05/05/2015&hrInicio=14:55:00&hrFim=18:25:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0462/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:55&sgFaseSessao=&Data=05/05/2015&txApelido=&txFaseSessao=&txTipoSessao=Especial - PEC&dtHoraQuarto=14:55&txEtapa=,AP c/ Convidado
Comissão Especial - PEC 182/07 - Reforma Política,16/04/2015,10h16,0339/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PEC 182/07 - Reforma Política&tpReuniaoEvento=Reunião Ordinária&dtReuniao=16/04/2015&hrInicio=10:16:00&hrFim=13:14:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0339/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:16&sgFaseSessao=&Data=16/04/2015&txApelido=&txFaseSessao=&txTipoSessao=Especial - PEC&dtHoraQuarto=10:16&txEtapa=,Reunião Ordinária
Comissão de Relações Exteriores e de Defesa Nacional,15/04/2015,10h29,0313/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=15/04/2015&hrInicio=10:29:00&hrFim=13:58:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0313/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:29&sgFaseSessao=&Data=15/04/2015&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:29&txEtapa=,AP c/ Ministro
Comissão Especial - PEC 182/07 - Reforma Política,09/04/2015,9h47,0267/15,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PEC 182/07 - Reforma Política&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/04/2015&hrInicio=09:47:00&hrFim=13:31:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0267/15&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=09:47&sgFaseSessao=&Data=09/04/2015&txApelido=&txFaseSessao=&txTipoSessao=Especial - PEC&dtHoraQuarto=09:47&txEtapa=,AP c/ Convidado
Conselho de Ética e Decoro Parlamentar,16/12/2014,14h33,1360/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Conselho de Ética e Decoro Parlamentar&tpReuniaoEvento=Reunião Ordinária&dtReuniao=16/12/2014&hrInicio=14:33:00&hrFim=15:21:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1360/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:33&sgFaseSessao=&Data=16/12/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:33&txEtapa=,Reunião Ordinária
Comissão de Direitos Humanos e Minorias,11/12/2014,14h48,1356/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Direitos Humanos e Minorias&tpReuniaoEvento=Outro Evento&dtReuniao=11/12/2014&hrInicio=14:48:00&hrFim=16:34:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1356/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:48&sgFaseSessao=&Data=11/12/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:48&txEtapa=,Outro Evento
Comissão de Relações Exteriores e de Defesa Nacional,09/12/2014,14h36,1312/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=09/12/2014&hrInicio=14:36:00&hrFim=17:02:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1312/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:36&sgFaseSessao=&Data=09/12/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:36&txEtapa=,AP c/ Convidado
Comissão Especial - PL 3722/12 - Disciplina Normas sobre Armas de Fogo,26/11/2014,14h45,1268/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão Especial - PL 3722/12 - Disciplina Normas sobre Armas de Fogo&tpReuniaoEvento=AP c/ Convidado&dtReuniao=26/11/2014&hrInicio=14:45:00&hrFim=18:56:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1268/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:45&sgFaseSessao=&Data=26/11/2014&txApelido=&txFaseSessao=&txTipoSessao=Especial - PL&dtHoraQuarto=14:45&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,19/11/2014,10h21,1187/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Ministro&dtReuniao=19/11/2014&hrInicio=10:21:00&hrFim=13:30:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=1187/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:21&sgFaseSessao=&Data=19/11/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:21&txEtapa=,AP c/ Ministro
Comissão de Relações Exteriores e de Defesa Nacional,02/07/2014,10h56,0903/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Reunião Ordinária&dtReuniao=02/07/2014&hrInicio=10:56:00&hrFim=11:36:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0903/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:56&sgFaseSessao=&Data=02/07/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:56&txEtapa=,Reunião Ordinária
"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",03/06/2014,16h06,0800/14,"https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/06/2014&hrInicio=16:06:00&hrFim=18:49:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0800/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=16:06&sgFaseSessao=&Data=03/06/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=16:06&txEtapa=",AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,03/06/2014,14h21,0779/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=AP c/ Convidado&dtReuniao=03/06/2014&hrInicio=14:21:00&hrFim=15:53:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0779/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=14:21&sgFaseSessao=&Data=03/06/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=14:21&txEtapa=,AP c/ Convidado
Comissão de Relações Exteriores e de Defesa Nacional,14/05/2014,10h26,0579/14,https://www.camara.leg.br/internet/sitaqweb/TextoHTML.asp?etapa=11&nmComissao=Comissão de Relações Exteriores e de Defesa Nacional&tpReuniaoEvento=Reunião Ordinária&dtReuniao=14/05/2014&hrInicio=10:26:00&hrFim=12:03:00&origemDiscurso=&nmLocal=Plenário Principal - CD&nuSessao=0579/14&nuQuarto=0&nuOrador=0&nuInsercao=0&dtHorarioQuarto=10:26&sgFaseSessao=&Data=14/05/2014&txApelido=&txFaseSessao=&txTipoSessao=Permanente&dtHoraQuarto=10:26&txEtapa=,Reunião Ordinária
